_id,singkat,hasil
1,3gp,trio tidak penting
2,99,keren
3,a.k.a,lebih dikenal sebagai
4,abab,kotoran gigi
5,ababil,anak baru gede tidak stabil
6,Abadi,anak bapak didi
7,abal,palsu
8,abas,anak basket
9,abatute,anak baru gede baru tumbuh payudara
10,abcd,aduh boo cape dech
11,abeng,anak bengkel
12,abg,anak baru gede
13,abis,sudah tidak ada
14,Abol,jelek
15,absurd,aneh
16,ac,angin semilir
17,acc,disetujui
18,Acil,anak kecil
19,adaptasi,menyesuaikan
20,adidas,ayah dan ibu doakan aku selalu
21,afgan,sadis
22,afika,anak pinggir kali
23,agan,teman
24,agase,gadis
25,agaso,anak gaul solo
26,agg,agak gimana gitu
27,agil,anak gila
28,agj,anak gaul jakarta
29,agreement,tata tertib
30,agus,anak gaul tapi rakus
31,ahay,senang
32,ahee,aneh
33,ahlan,selamat datang
34,air danau,tidak tahu
35,ajeb ajeb,dunia gemerlap
36,ajib,enak
37,ajo,kakak laki
38,aka,juga dikenal sebagai
39,akam,anak kampung
40,akamsi,anak kampung sini
41,akik,adil
42,akika,saya
43,akikah,saya
44,akooh,saya
45,akurapopo,aku tidak apa-apa
46,alapu,aku cinta kamu
47,alay,anak layangan
48,alay alay,anak layangan
49,albino,hewan tanpa warna
50,alex,anak jelek
51,alibi,alasan
52,aliheo,cepat
53,alim,berilmu
54,alter,tindakan yang aneh
55,amaca,ah masa
56,amajing,luar biasa
57,Ambigu,ganda / double
58,ambok biar,biarin saja
59,ametz,anak metal
60,amigos,agak minggir sedikit
61,aming,amat miring
62,amog,bersaing buat dapetin perhatian cewe
63,ampas,sial
64,Ampi,anak muda film india
65,amsk,aku masih sayang kamu
66,amsyong,rusak
67,Amuba,asli muka batak
68,Anabule,anak haram
69,anak gajah,wanita gendut
70,anak motor,orang yang suka utak atik motor
71,anakdb,anak don bosco
72,Ananda,putra
73,ancol,terkena serangan kaget
74,andara,anak dada rata
75,andi,anak belum mandi
76,andilau,antara dilema dan galau
77,ane,saya
78,ang,kamu
79,anggur angguran,cewe berkelas yang manis jalan rombongan
80,angsul,kembalian
81,anis,anak manis
82,anjas,kagum
83,anjasmara,anjing
84,anjay,kagum
85,anjelo,antar jemput lonte
86,anjis,anjing
87,anon,anonim
88,ansos,anti sosial
89,antabur,tahi burung
90,antangin,adukan tai dingin
91,antek,pembantu
92,antum,kalian
93,anying,anjing
94,aok,iya
95,apa banang,apa lagi
96,apa sih yur,ucapan tidak jelas
97,apais,siapa
98,apeng,apa saja ingin
99,apipa kabaripa,apa kabar
100,apipon,apa
101,apo,dengan apa
102,aq,aku
103,aquarium,cantik
104,arca,guede banget
105,arema,arek malang
106,Asa,menginginkan
107,asal,tidak jelas
108,asap,secepatnya
109,asbun,asal bunyi
110,asee,anjing
111,aseka,kesukaan
112,Aselole,asyik
113,Asem,sialan kurang ajar
114,asgar,asli garut
115,asin,hilang
116,asing,anak singkong
117,aspal,asli tapi palsu
118,asrob,mabok
119,assolole,rasa kagum
120,astaa,reflek
121,astem,asal tembak
122,atika,sinetron gadis begajulan
123,atm,ambil tendili moneynya
124,au ah gelap,tidak mau tahu
125,augi,au ah gila kali
126,auk,tidak tahu
127,austria,aku suka istri tiga
128,ava,avatar
129,awak,kamu
130,awwaab,cerdas
131,ayamblun,ya ampun
132,ayoyo ayoyo,membual
133,b29,muka 2 tubuh 9
134,b2l,betul tuh
135,b4,sebelum
136,baba,mengisap ganja
137,babang,abang
138,babay,pergi
139,bacaan,bacaan
140,bacit,banyak ngomong
141,Bacrit,banyak cerita
142,badai,daya tarik
143,badau,kebut
144,badog,makan
145,bagage,bergegas
146,bagasi,bagus
147,baget,keras kepala
148,bagoy,kece
149,bagudung,tikus
150,aja,saja
151,bah,tidak senang
152,baheula,jaman dahulu kala
153,bahlul,hilang akal
154,baim,baik tapi jaim
155,bais,habis
156,Bajagg,busyet
157,bajau,babi hutan
158,bajidak,bangke
159,bajigur,minuman jahe
160,bajrut,bajingan
161,baks,rokok
162,bakung,bakar
163,balap,lapar
164,Balga,ukuran yang mewadai
